State,Year,Population Density (persons/sq km),People with air-borne diseases,Industries,Vehicles,Birthrate (%),Deathrate (%),Forest cover,SO2 ,NO2,PM
Delhi,2008,10726,182256,3026,5899,18.4,4.8,176,7,57,214
Karnataka,2008,306.1,1777839,8451,6217,19.8,7.4,36105,13,28,80
Kerala,2008,847.7,6599810,5867,4430,14.6,6.6,17113,6,19,47
Rajasthan,2008,189.5,698873,6352,5902,27.5,6.8,15626,7,29,130
Sikkim,2008,83,91256,NA,26,18.4,5.2,3262,NA,NA,NA
Delhi,2009,10924,196209,2878,6302,18.1,4.4,176,6,50,252
Karnataka,2009,310.4,1828754,8541,6953,19.5,7.2,36150,10,27,85
Kerala,2009,851.8,6417568,5907,4860,14.7,6.8,17240,5,15,46
Rajasthan,2009,193,642862,6811,6490,27.2,6.6,15839,6,27,129
Sikkim,2009,84,92165,46,29,18.1,5.7,3242,NA,NA,NA
Delhi,2010,11122,249463,3920,6747,17.8,4.2,177,5,55,261
Karnataka,2010,314.7,1473152,10722,9044,19.2,7.1,36143,10,22,70
Kerala,2010,855.9,6013090,6917,5398,14.8,7,17324,4,13,42
Rajasthan,2010,196.5,686113,8172,7166,26.7,6.7,16020,7,29,168
Sikkim,2010,85,92887,64,34,17.8,5.6,3397,NA,NA,NA
Delhi,2011,11320,198541,3849,7228,17.5,4.3,176,5,57,222
Karnataka,2011,319,1629997,11460,9930,18.8,7.1,36134,11,21,71
Kerala,2011,860,5034506,7031,6072,15.2,7,17320,4,14,42
Rajasthan,2011,200,1089640,8444,7896,26.2,6.7,15087,7,31,165
Sikkim,2011,86,92736,61,39,17.6,5.6,3354,NA,NA,NA
Delhi,2012,11518,205496,3909,7350,17.3,4.2,177,5,59,237
Karnataka,2012,323.3,1791660,12250,10910,18.5,7.1,36132,9,20,83
Kerala,2012,864.1,4589290,7899,6893,14.9,6.9,17922,4,13,55
Rajasthan,2012,203.5,1372208,9112,8985,25.9,6.6,14086,8,34,173
Sikkim,2012,87,91110,78,43,17.2,5.4,3358,NA,NA,NA
